modelo,iou_threshold,imagens_avaliadas,imagens_positivas_gt,imagens_negativas_gt,gt_boxes,pred_boxes,tp_boxes_iou_05,fp_boxes_iou_05,fn_boxes_iou_05,precisao_box_iou_05,recall_box_iou_05,f1_box_iou_05,imagens_positivas_com_iou_05,taxa_imagens_positivas_com_iou_05,iou_medio_melhor_por_imagem_positiva,taxa_imagens_negativas_com_predicao,sucessos_iou_05,taxa_sucesso_iou_05,iou_medio,limiar_conf,prompt_hash,modelo_id
YOLOv11m,0.5,560,280,280,785,566,388,178,397,0.6855,0.4943,0.5744,226,0.8071,0.6894,0.1679,226,0.8071,0.6894,0.25,,
Gemma 4 31B-QAT,0.5,560,280,280,785,858,127,731,658,0.148,0.1618,0.1546,107,0.3821,0.4278,0.0071,107,0.3821,0.4278,,4c2b4636ad2a8d90,google/gemma-4-31b-qat
